scenario,N,cs_b1_bias,cs_b1_rmse,cs_b1_cov,cs_b2_bias,cs_b2_rmse,cs_b2_cov,cs_ind_bias,cs_ind_power,lv_b1_bias,lv_b1_rmse,lv_b1_cov,lv_b2_bias,lv_b2_rmse,lv_b2_cov,lv_ind_bias,lv_ind_power
medium,50,-0.09454714985060864,0.181780042863791,0.892,-0.02589653489891113,0.15597644259249552,0.938,-0.04952065228904103,0.026,0.004323983156884785,0.14513809359666363,0.948,-0.0002467371007971275,0.15470771722729784,0.932,0.001998254844552159,0.104
medium,86,-0.09438039818559678,0.15327878953043952,0.86,-0.029448608295282484,0.11150409335445334,0.954,-0.0497328904485869,0.184,0.0017492464337273686,0.11693197017093324,0.92,-0.006385520981390774,0.10752672817411049,0.956,-0.002756694125782154,0.47
medium,100,-0.09906990157555881,0.14608875136651361,0.848,-0.02424007218326384,0.10705923473879608,0.946,-0.04927169172521982,0.318,0.0005166354633052915,0.10189413317720664,0.95,-0.007916966204484155,0.1061799237214701,0.93,-0.003689944129017605,0.616
medium,150,-0.10187399233404613,0.13341655221114507,0.79,-0.02370392799654454,0.09054007053119247,0.94,-0.05004141288616116,0.726,-0.002625744527757304,0.08186032630514001,0.94,-0.0030291883968848713,0.08378345039683616,0.936,-0.0024026543348640325,0.944
medium,200,-0.10422809880831915,0.12879129318322308,0.71,-0.022073226998808343,0.07651506905730143,0.946,-0.05049183372043346,0.942,-0.0021221984028122346,0.0733929695509202,0.946,0.0008560946659156085,0.07055908597510856,0.95,-0.00076314660521225,0.994
medium,300,-0.10400427615522552,0.12067079616051164,0.608,-0.02185670507305173,0.06131703357487686,0.942,-0.050259942603730345,1.0,-0.0014782947020454552,0.061811276613959056,0.952,-0.0025811382395578442,0.05833080162338306,0.948,-0.0018715650472533115,1.0
small,50,-0.059039932226147514,0.1614535475284456,0.938,-0.03983925189285971,0.15650867308277405,0.952,-0.026355173967440075,0.0,-0.001301321921510874,0.14502340596338353,0.95,-0.007313833497639528,0.14919682877754614,0.944,-0.002233920554133296,0.008
small,86,-0.05407512157866435,0.1301674975765496,0.896,-0.033340080601162954,0.11759279869212375,0.94,-0.02453762953370525,0.006,-0.000709694319141807,0.11184592654002343,0.952,-0.002597632744123615,0.1091198054426645,0.942,-0.0013144855091067212,0.038
small,100,-0.05385976910371303,0.11677753749513146,0.924,-0.02882884852284593,0.1129513976343994,0.94,-0.0223964541776781,0.028,0.0028953621865512335,0.09980098974115645,0.946,-0.0012216504639986833,0.10608107385108168,0.946,0.001873573892679573,0.088
small,150,-0.053867819036346555,0.10232440070127616,0.888,-0.030516043175792363,0.09418028281745212,0.936,-0.023707096550921618,0.062,-0.0008248312250023541,0.0819995093580881,0.944,0.0006471923262656456,0.08547844475557985,0.934,8.03495925804515e-06,0.308
small,200,-0.05560236402830154,0.0943185993778347,0.866,-0.032884877525479556,0.08287613901883138,0.934,-0.024872195791257747,0.18,-0.0012655055978040405,0.07531695820974152,0.942,-0.0006081714618313834,0.07193696242550723,0.948,-0.00047159277223756166,0.566
small,300,-0.05273299724065761,0.08182143380751786,0.856,-0.03206864986336954,0.06831401715470524,0.922,-0.02349041320385193,0.592,0.001518288434946825,0.059497969035816306,0.934,-0.0004131481522187597,0.055560192216032374,0.97,0.0005144889127293855,0.932
